,cdf,Number of Output Tokens
0,0.0,150.0548914768056
1,0.01,150.95792752571776
2,0.02,151.86639807994746
3,0.03,154.00748097611634
4,0.04,155.8667043974642
5,0.05,157.11863951343716
6,0.06,157.11863951343716
7,0.07,159.01542175195067
8,0.08,159.97238261315115
9,0.09,159.97238261315115
10,0.1,161.90361607426667
11,0.11,162.87795819884124
12,0.12,163.8581639514108
13,0.13,164.84426861951204
14,0.14,164.84426861951204
15,0.15,166.83431691554176
16,0.16,166.83431691554176
17,0.17,169.8645256938739
18,0.18,170.88677687557998
19,0.19,171.91518000381075
20,0.2,172.94977210121453
21,0.21,175.0376724094938
22,0.22,176.091055785056
23,0.23,177.15077846187063
24,0.24,177.86080091059313
25,0.25,178.93117398094043
26,0.26,180.00798859717014
27,0.27,181.09128352475034
28,0.28,182.18109776244162
29,0.29,182.9112817913652
30,0.3,184.01204884790513
31,0.31,185.11944036249332
32,0.32,185.86140130386502
33,0.33,186.97992229193082
34,0.34,188.10517458188053
35,0.35000000000000003,188.85910238188015
36,0.36,189.99566364914423
37,0.37,191.13906478537908
38,0.38,191.13906478537908
39,0.39,191.90515245376974
40,0.4,193.0600449663177
41,0.41000000000000003,193.83383194635599
42,0.42,195.00033132550766
43,0.43,196.17385074232715
44,0.44,196.96011789333122
45,0.45,198.1454313803173
46,0.46,200.13682673977718
47,0.47000000000000003,200.13682673977718
48,0.48,202.14823596203493
49,0.49,202.14823596203493
50,0.5,202.9584485207881
51,0.51,204.99821552289328
52,0.52,204.99821552289328
53,0.53,205.81985083397174
54,0.54,207.0584825310501
55,0.55,209.13945557381334
56,0.56,209.9776890247771
57,0.5700000000000001,209.9776890247771
58,0.58,212.08800059038398
59,0.59,212.93805184520394
60,0.6,215.07811556175292
61,0.61,215.07811556175292
62,0.62,215.9401512333074
63,0.63,216.8056419541916
64,0.64,218.11038656041768
65,0.65,218.98457561057066
66,0.66,218.98457561057066
67,0.67,219.86226842094075
68,0.68,221.18540792159763
69,0.6900000000000001,222.07192169431573
70,0.7000000000000001,222.9619886248871
71,0.71,222.9619886248871
72,0.72,223.8556229544114
73,0.73,225.2027946146621
74,0.74,226.10541012151884
75,0.75,227.0116433221731
76,0.76,227.92150871638486
77,0.77,228.83502086202944
78,0.78,230.21215872843447
79,0.79,231.13485182685199
80,0.8,232.0612430902949
81,0.81,232.9913473410534
82,0.8200000000000001,233.92517946082506
83,0.8300000000000001,234.86275439095374
84,0.84,237.22316510517507
85,0.85,238.17395840139497
86,0.86,239.1285624885707
87,0.87,239.1285624885707
88,0.88,240.08699264039853
89,0.89,241.0492641917914
90,0.9,242.01539253912478
91,0.91,242.01539253912478
92,0.92,242.9853931404834
93,0.93,243.9592815159079
94,0.9400000000000001,243.9592815159079
95,0.9500000000000001,244.9370732476433
96,0.96,244.9370732476433
97,0.97,245.91878398038853
98,0.98,246.90442942154698
99,0.99,247.89402534147717
100,1.0,248.88758757374526
