,cdf,Number of Total Tokens
0,0.0,609.7210988835287
1,0.01,1373.3412364211895
2,0.02,2048.784647953762
3,0.03,3099.5188838420167
4,0.04,3971.9095870669876
5,0.05,4919.697548271098
6,0.06,5808.062915482471
7,0.07,6561.683169006419
8,0.08,7793.166095210145
9,0.09,8510.045058590482
10,0.1,9423.883561955297
11,0.11,10270.208237442368
12,0.12,11259.895372280107
13,0.13,12100.507025832556
14,0.14,12874.484093675683
15,0.15,13835.633465388526
16,0.16,14838.83043070341
17,0.17,15756.412774438744
18,0.18,16531.166180619566
19,0.19,17344.01473250275
20,0.2,18601.598130440416
21,0.21,19322.06120428897
22,0.22,20312.724805023114
23,0.23,21141.70311216259
24,0.24,22270.157599787668
25,0.25,23040.362503273802
26,0.26,23884.926780908343
27,0.27,24909.458613908162
28,0.28,25565.5976013271
29,0.29,26715.598777394174
30,0.3,27584.32369660044
31,0.31,28367.599712031963
32,0.32,29231.52203295721
33,0.33,30182.058527682737
34,0.34,31039.099026522228
35,0.35000000000000003,31920.475785129333
36,0.36,33024.43326100958
37,0.37,33826.607513690135
38,0.38,34648.26684054525
39,0.39,35703.464016506005
40,0.4,36643.92744006908
41,0.41000000000000003,37459.02733889608
42,0.42,38292.25815030479
43,0.43,39458.43142088463
44,0.44,40094.844261729326
45,0.45,40986.705636432365
46,0.46,42066.33470227288
47,0.47000000000000003,42916.13131938056
48,0.48,43870.74881647289
49,0.49,44667.57245943463
50,0.5,45569.91758265704
51,0.51,46304.90069428904
52,0.52,47240.322053055184
53,0.53,48387.8048800819
54,0.54,49168.23682471502
55,0.55,50061.27864965794
56,0.56,51072.58390231793
57,0.5700000000000001,51792.628871046574
58,0.58,52733.33748279693
59,0.59,53583.85717925118
60,0.6,54666.3232625167
61,0.61,55326.271129493434
62,0.62,56331.1612237409
63,0.63,57354.30311918337
64,0.64,58162.91067808213
65,0.65,59101.00228191722
66,0.66,59814.48689299736
67,0.67,60900.896371608076
68,0.68,61759.5054466318
69,0.6900000000000001,62505.08428663009
70,0.7000000000000001,63640.363038612675
71,0.71,64408.64814239157
72,0.72,65447.475314765514
73,0.73,66370.18416784638
74,0.74,67171.42447190132
75,0.75,68254.8116095138
76,0.76,69078.80368807881
77,0.77,69912.74324037555
78,0.78,70898.40551108672
79,0.79,71897.96410551353
80,0.8,72475.45489406004
81,0.81,73644.3890984803
82,0.8200000000000001,74533.44573517698
83,0.8300000000000001,75282.5195691161
84,0.84,76191.35219668626
85,0.85,77111.15651794657
86,0.86,78198.30535674011
87,0.87,78984.21165455494
88,0.88,79778.01644462152
89,0.89,80741.1200272682
90,0.9,81879.44577472498
91,0.91,82702.34816119465
92,0.92,84036.22876522543
93,0.93,85391.62311711648
94,0.9400000000000001,86077.496164882
95,0.9500000000000001,87640.92022126332
96,0.96,90490.78527473925
97,0.97,92318.82101282165
98,0.98,94561.27527900101
99,0.99,96664.67661443158
100,1.0,101012.8828846017
