,cdf,Number of Output Tokens
0,0.0,296.78304915996756
1,0.01,297.97255918715183
2,0.02,297.97255918715183
3,0.03,299.1668367848182
4,0.04,299.1668367848182
5,0.05,299.1668367848182
6,0.06,299.1668367848182
7,0.07,299.1668367848182
8,0.08,299.1668367848182
9,0.09,299.1668367848182
10,0.1,299.1668367848182
11,0.11,299.1668367848182
12,0.12,299.1668367848182
13,0.13,299.7657693909941
14,0.14,299.7657693909941
15,0.15,299.7657693909941
16,0.16,299.7657693909941
17,0.17,299.7657693909941
18,0.18,299.7657693909941
19,0.19,299.7657693909941
20,0.2,299.7657693909941
21,0.21,299.7657693909941
22,0.22,299.7657693909941
23,0.23,299.7657693909941
24,0.24,299.7657693909941
25,0.25,299.7657693909941
26,0.26,299.7657693909941
27,0.27,299.7657693909941
28,0.28,299.7657693909941
29,0.29,299.7657693909941
30,0.3,299.7657693909941
31,0.31,299.7657693909941
32,0.32,299.7657693909941
33,0.33,299.7657693909941
34,0.34,299.7657693909941
35,0.35000000000000003,299.7657693909941
36,0.36,299.7657693909941
37,0.37,299.7657693909941
38,0.38,299.7657693909941
39,0.39,299.7657693909941
40,0.4,299.7657693909941
41,0.41000000000000003,299.7657693909941
42,0.42,299.7657693909941
43,0.43,299.7657693909941
44,0.44,299.7657693909941
45,0.45,299.7657693909941
46,0.46,299.7657693909941
47,0.47000000000000003,299.7657693909941
48,0.48,299.7657693909941
49,0.49,299.7657693909941
50,0.5,299.7657693909941
51,0.51,299.7657693909941
52,0.52,299.7657693909941
53,0.53,299.7657693909941
54,0.54,299.7657693909941
55,0.55,299.7657693909941
56,0.56,299.7657693909941
57,0.5700000000000001,299.7657693909941
58,0.58,299.7657693909941
59,0.59,299.7657693909941
60,0.6,299.7657693909941
61,0.61,299.7657693909941
62,0.62,299.7657693909941
63,0.63,299.7657693909941
64,0.64,299.7657693909941
65,0.65,299.7657693909941
66,0.66,299.7657693909941
67,0.67,299.7657693909941
68,0.68,299.7657693909941
69,0.6900000000000001,299.7657693909941
70,0.7000000000000001,299.7657693909941
71,0.71,299.7657693909941
72,0.72,299.7657693909941
73,0.73,299.7657693909941
74,0.74,299.7657693909941
75,0.75,299.7657693909941
76,0.76,299.7657693909941
77,0.77,299.7657693909941
78,0.78,299.7657693909941
79,0.79,299.7657693909941
80,0.8,299.7657693909941
81,0.81,299.7657693909941
82,0.8200000000000001,299.7657693909941
83,0.8300000000000001,299.7657693909941
84,0.84,299.7657693909941
85,0.85,299.7657693909941
86,0.86,299.7657693909941
87,0.87,299.7657693909941
88,0.88,299.7657693909941
89,0.89,299.7657693909941
90,0.9,299.7657693909941
91,0.91,299.7657693909941
92,0.92,299.7657693909941
93,0.93,299.7657693909941
94,0.9400000000000001,299.7657693909941
95,0.9500000000000001,299.7657693909941
96,0.96,299.7657693909941
97,0.97,299.7657693909941
98,0.98,300.96723419670434
99,0.99,300.96723419670434
100,1.0,302.1735144877931
