,cdf,End to End Latency
0,0.0,1.9098022748263577
1,0.01,4.6879716973418635
2,0.02,4.92832922818322
3,0.03,5.0379539582793065
4,0.04,5.181010157364399
5,0.05,5.275112754178585
6,0.06,5.349483739703562
7,0.07,5.468476543139826
8,0.08,5.623757729813228
9,0.09,5.657601717905779
10,0.1,5.737365210190404
11,0.11,5.7488514268274225
12,0.12,5.783448233550435
13,0.13,5.829901399818265
14,0.14,5.85326771468095
15,0.15,5.888492902598986
16,0.16,5.923930077038799
17,0.17,5.9595805137433455
18,0.18,5.983466584052867
19,0.19,6.007448390019206
20,0.2,6.019475313722949
21,0.21,6.055700745298896
22,0.22,6.0678242703145076
23,0.23,6.092144182901027
24,0.24,6.10434066775168
25,0.25,6.128806938497908
26,0.26,6.141076822258666
27,0.27,6.153371270351273
28,0.28,6.1780340563418745
29,0.29,6.215213700466616
30,0.3,6.215213700466616
31,0.31,6.252617093104983
32,0.32,6.265134845043132
33,0.33,6.277677657545719
34,0.34,6.328100518134338
35,0.35000000000000003,6.366183267938592
36,0.36,6.3789283795861165
37,0.37,6.430164494903704
38,0.38,6.481812143218157
39,0.39,6.494788744105482
40,0.4,6.520819935433368
41,0.41000000000000003,6.560062478027002
42,0.42,6.573195736241272
43,0.43,6.599541183735776
44,0.44,6.639257473798307
45,0.45,6.665867697530743
46,0.46,6.6925845753596445
47,0.47000000000000003,6.732860804094767
48,0.48,6.773379416707578
49,0.49,6.827783797542891
50,0.5,6.868873660343622
51,0.51,6.937907011436486
52,0.52,6.965714226104354
53,0.53,6.965714226104354
54,0.54,7.0357208413896855
55,0.55,7.0498063685996755
56,0.56,7.063920095063338
57,0.5700000000000001,7.092232371684557
58,0.58,7.120658124250674
59,0.59,7.163510515898116
60,0.6,7.177851878292304
61,0.61,7.19222195212272
62,0.62,7.22104846412871
63,0.63,7.264505008663007
64,0.64,7.308223076336531
65,0.65,7.337514522242242
66,0.66,7.4112577938774935
67,0.67,7.485742197962293
68,0.68,7.500728668829085
69,0.6900000000000001,7.515745142640555
70,0.7000000000000001,7.530791679462657
71,0.71,7.636964272369089
72,0.72,7.6522534901315895
73,0.73,7.667573316938661
74,0.74,7.7137170650346265
75,0.75,7.729159942041703
76,0.76,7.760138507963147
77,0.77,7.791241236349044
78,0.78,7.82246862484404
79,0.79,7.853821173087354
80,0.8,7.869544538799241
81,0.81,7.901085767871355
82,0.8200000000000001,7.948634802785942
83,0.8300000000000001,7.980493026586462
84,0.84,7.996469989602652
85,0.85,8.02851993740672
86,0.86,8.093005717598098
87,0.87,8.207104664696484
88,0.88,8.239998838809319
89,0.89,8.306183236187586
90,0.9,8.356170163086983
91,0.91,8.593449414215304
92,0.92,8.62789206272654
93,0.93,8.697192052688527
94,0.9400000000000001,8.784600315263162
95,0.9500000000000001,8.837466374355909
96,0.96,8.872887045775503
97,0.97,8.890650583404684
98,0.98,9.034045137901533
99,0.99,9.106607385182924
100,1.0,9.216545016993011
