,cdf,Output Throughput
0,0.0,25.55928307312625
1,0.01,26.023515884264672
2,0.02,26.180126393469997
3,0.03,26.923529251938415
4,0.04,27.194115310062983
5,0.05,27.303109650990756
6,0.06,27.522410635633197
7,0.07,27.68804155050934
8,0.08,28.022299698332315
9,0.09,28.24737728086207
10,0.1,28.417371072605857
11,0.11,28.70297049565497
12,0.12,29.341433400192315
13,0.13,29.518011263308665
14,0.14,29.755102533038666
15,0.15,29.99409814075676
16,0.16,30.1143148465146
17,0.17,30.174603765126243
18,0.18,30.356195679214313
19,0.19,30.661280620034457
20,0.2,30.722664565219695
21,0.21,30.845801373961255
22,0.22,30.969431716511867
23,0.23,31.031432580809184
24,0.24,31.155806935467375
25,0.25,31.28067978403353
26,0.26,31.468928105707406
27,0.27,31.595055947686337
28,0.28,31.721689311571495
29,0.29,31.848830223500734
30,0.3,31.848830223500734
31,0.31,32.104642836679396
32,0.32,32.492219488915005
33,0.33,32.557268977381305
34,0.34,32.75319986141552
35,0.35000000000000003,32.88447508002318
36,0.36,33.01627645128441
37,0.37,33.1486060840254
38,0.38,33.41485861154611
39,0.39,33.75068363618836
40,0.4,33.88595678175108
41,0.41000000000000003,33.953796535067895
42,0.42,34.08988375956996
43,0.43,34.36369671239413
44,0.44,34.63970895500363
45,0.45,34.77854532472673
46,0.46,34.91793815228792
47,0.47000000000000003,35.12807563327819
48,0.48,35.55215205184124
49,0.49,35.766106256221086
50,0.5,35.90945723986225
51,0.51,35.90945723986225
52,0.52,36.05338277596838
53,0.53,36.12556172046482
54,0.54,36.270353405925924
55,0.55,36.48862977339375
56,0.56,36.634876639973626
57,0.5700000000000001,36.708219736349946
58,0.58,36.92913120006213
59,0.59,37.30027526323027
60,0.6,37.524749739640455
61,0.61,37.82615183894552
62,0.62,38.05379106060644
63,0.63,38.28280022376868
64,0.64,38.43623814707242
65,0.65,38.5902910514165
66,0.66,38.900251672510336
67,0.67,39.05616434863997
68,0.68,39.212701924648975
69,0.6900000000000001,39.5276618047685
70,0.7000000000000001,39.68608914824719
71,0.71,39.765540778173616
72,0.72,40.1651912410706
73,0.73,40.32617381019056
74,0.74,40.65007719469447
75,0.75,40.81300319254295
76,0.76,41.388403835355575
77,0.77,41.55428905525158
78,0.78,41.97191674322714
79,0.79,42.309038880111146
80,0.8,43.07749721283061
81,0.81,43.42349946955025
82,0.8200000000000001,43.59754137720183
83,0.8300000000000001,44.212199730451246
84,0.84,44.47827043141523
85,0.85,44.835523822164006
86,0.86,45.46763582593901
87,0.87,45.8328358867911
88,0.88,46.20096926673978
89,0.89,46.29346369970624
90,0.9,46.66529688287211
91,0.91,47.3232058756696
92,0.92,47.79881216100805
93,0.93,48.18273643577533
94,0.9400000000000001,48.47270197777481
95,0.9500000000000001,49.15609260564148
96,0.96,50.24951050346689
97,0.97,51.676380228367584
98,0.98,53.25016083712919
99,0.99,58.85053110173148
100,1.0,153.39268126643097
