,cdf,Number of Prompt Tokens
0,0.0,500.19677533310926
1,0.01,500.19677533310926
2,0.02,500.19677533310926
3,0.03,500.19677533310926
4,0.04,500.19677533310926
5,0.05,500.19677533310926
6,0.06,500.19677533310926
7,0.07,500.19677533310926
8,0.08,500.19677533310926
9,0.09,500.19677533310926
10,0.1,500.19677533310926
11,0.11,500.19677533310926
12,0.12,500.19677533310926
13,0.13,500.19677533310926
14,0.14,500.19677533310926
15,0.15,500.19677533310926
16,0.16,500.19677533310926
17,0.17,500.19677533310926
18,0.18,500.19677533310926
19,0.19,500.19677533310926
20,0.2,500.19677533310926
21,0.21,500.19677533310926
22,0.22,500.19677533310926
23,0.23,500.19677533310926
24,0.24,500.19677533310926
25,0.25,500.19677533310926
26,0.26,500.19677533310926
27,0.27,500.19677533310926
28,0.28,500.19677533310926
29,0.29,500.19677533310926
30,0.3,500.19677533310926
31,0.31,500.19677533310926
32,0.32,500.19677533310926
33,0.33,500.19677533310926
34,0.34,500.19677533310926
35,0.35000000000000003,500.19677533310926
36,0.36,500.19677533310926
37,0.37,500.19677533310926
38,0.38,500.19677533310926
39,0.39,500.19677533310926
40,0.4,500.19677533310926
41,0.41000000000000003,500.19677533310926
42,0.42,500.19677533310926
43,0.43,500.19677533310926
44,0.44,500.19677533310926
45,0.45,500.19677533310926
46,0.46,500.19677533310926
47,0.47000000000000003,500.19677533310926
48,0.48,500.19677533310926
49,0.49,500.19677533310926
50,0.5,500.19677533310926
51,0.51,500.19677533310926
52,0.52,500.19677533310926
53,0.53,500.19677533310926
54,0.54,500.19677533310926
55,0.55,500.19677533310926
56,0.56,500.19677533310926
57,0.5700000000000001,500.19677533310926
58,0.58,500.19677533310926
59,0.59,500.19677533310926
60,0.6,500.19677533310926
61,0.61,500.19677533310926
62,0.62,500.19677533310926
63,0.63,500.19677533310926
64,0.64,500.19677533310926
65,0.65,500.19677533310926
66,0.66,500.19677533310926
67,0.67,500.19677533310926
68,0.68,500.19677533310926
69,0.6900000000000001,500.19677533310926
70,0.7000000000000001,500.19677533310926
71,0.71,500.19677533310926
72,0.72,500.19677533310926
73,0.73,500.19677533310926
74,0.74,500.19677533310926
75,0.75,500.19677533310926
76,0.76,500.19677533310926
77,0.77,500.19677533310926
78,0.78,500.19677533310926
79,0.79,500.19677533310926
80,0.8,500.19677533310926
81,0.81,500.19677533310926
82,0.8200000000000001,500.19677533310926
83,0.8300000000000001,500.19677533310926
84,0.84,500.19677533310926
85,0.85,500.19677533310926
86,0.86,500.19677533310926
87,0.87,500.19677533310926
88,0.88,500.19677533310926
89,0.89,500.19677533310926
90,0.9,500.19677533310926
91,0.91,500.19677533310926
92,0.92,500.19677533310926
93,0.93,500.19677533310926
94,0.9400000000000001,500.19677533310926
95,0.9500000000000001,500.19677533310926
96,0.96,500.19677533310926
97,0.97,500.19677533310926
98,0.98,500.19677533310926
99,0.99,500.19677533310926
100,1.0,500.19677533310926
