,cdf,Number of Total Tokens
0,0.0,798.7130362836465
1,0.01,798.7130362836465
2,0.02,798.7130362836465
3,0.03,798.7130362836465
4,0.04,798.7130362836465
5,0.05,800.3120613813115
6,0.06,800.3120613813115
7,0.07,800.3120613813115
8,0.08,800.3120613813115
9,0.09,800.3120613813115
10,0.1,800.3120613813115
11,0.11,800.3120613813115
12,0.12,800.3120613813115
13,0.13,800.3120613813115
14,0.14,800.3120613813115
15,0.15,800.3120613813115
16,0.16,800.3120613813115
17,0.17,800.3120613813115
18,0.18,800.3120613813115
19,0.19,800.3120613813115
20,0.2,800.3120613813115
21,0.21,800.3120613813115
22,0.22,1595.5949552047311
23,0.23,1598.7893394994353
24,0.24,1598.7893394994353
25,0.25,1598.7893394994353
26,0.26,1598.7893394994353
27,0.27,1598.7893394994353
28,0.28,1598.7893394994353
29,0.29,1598.7893394994353
30,0.3,1598.7893394994353
31,0.31,1598.7893394994353
32,0.32,1598.7893394994353
33,0.33,1598.7893394994353
34,0.34,1598.7893394994353
35,0.35000000000000003,1598.7893394994353
36,0.36,1598.7893394994353
37,0.37,1598.7893394994353
38,0.38,1598.7893394994353
39,0.39,1598.7893394994353
40,0.4,1598.7893394994353
41,0.41000000000000003,1598.7893394994353
42,0.42,1601.990118957891
43,0.43,2394.673305539692
44,0.44,2399.4674462915236
45,0.45,2399.4674462915236
46,0.46,2399.4674462915236
47,0.47000000000000003,2399.4674462915236
48,0.48,2399.4674462915236
49,0.49,2399.4674462915236
50,0.5,2399.4674462915236
51,0.51,2399.4674462915236
52,0.52,2399.4674462915236
53,0.53,2399.4674462915236
54,0.54,2399.4674462915236
55,0.55,2399.4674462915236
56,0.56,2399.4674462915236
57,0.5700000000000001,2399.4674462915236
58,0.58,2399.4674462915236
59,0.59,2399.4674462915236
60,0.6,2399.4674462915236
61,0.61,2399.4674462915236
62,0.62,2399.4674462915236
63,0.63,3193.9133188687024
64,0.64,3193.9133188687024
65,0.65,3200.3075397272987
66,0.66,3200.3075397272987
67,0.67,3200.3075397272987
68,0.68,3200.3075397272987
69,0.6900000000000001,3200.3075397272987
70,0.7000000000000001,3200.3075397272987
71,0.71,3200.3075397272987
72,0.72,3200.3075397272987
73,0.73,3200.3075397272987
74,0.74,3200.3075397272987
75,0.75,3200.3075397272987
76,0.76,3200.3075397272987
77,0.77,3200.3075397272987
78,0.78,3200.3075397272987
79,0.79,3200.3075397272987
80,0.8,3200.3075397272987
81,0.81,3200.3075397272987
82,0.8200000000000001,3995.812690157074
83,0.8300000000000001,3995.812690157074
84,0.84,3995.812690157074
85,0.85,3995.812690157074
86,0.86,3995.812690157074
87,0.87,3995.812690157074
88,0.88,3995.812690157074
89,0.89,3995.812690157074
90,0.9,4003.8123151623936
91,0.91,4003.8123151623936
92,0.92,4003.8123151623936
93,0.93,4003.8123151623936
94,0.9400000000000001,4003.8123151623936
95,0.9500000000000001,4003.8123151623936
96,0.96,4003.8123151623936
97,0.97,4003.8123151623936
98,0.98,4003.8123151623936
99,0.99,4003.8123151623936
100,1.0,4003.8123151623936
